Labels;RuSL_BOLD062A2_REP2;RuSL_BOLD062_B2_rep2;RuSL_BOLD062_C2_REP;RuSL_BOLD062_D2_REP2
759;1,61E+04;4,57E+03;1,35E+03;3,82E+02
760;1,69E+04;4,43E+03;1,41E+03;3,76E+02
761;1,58E+04;4,47E+03;1,32E+03;3,67E+02
762;1,56E+04;4,24E+03;1,35E+03;3,95E+02
763;1,57E+04;4,55E+03;1,37E+03;4,21E+02
764;1,54E+04;4,40E+03;1,48E+03;3,28E+02
765;1,52E+04;4,16E+03;1,20E+03;3,67E+02
766;1,45E+04;4,08E+03;1,25E+03;3,44E+02
767;1,48E+04;4,59E+03;1,39E+03;3,27E+02
768;1,39E+04;4,19E+03;1,19E+03;3,17E+02
769;1,38E+04;3,86E+03;1,17E+03;3,81E+02
770;1,40E+04;3,87E+03;1,10E+03;3,69E+02
771;1,39E+04;3,88E+03;1,09E+03;2,79E+02
772;1,37E+04;3,86E+03;1,22E+03;3,21E+02
773;1,34E+04;3,73E+03;1,09E+03;2,94E+02
774;1,29E+04;3,76E+03;1,03E+03;3,31E+02
775;1,31E+04;3,79E+03;1,16E+03;2,18E+02
776;1,26E+04;3,65E+03;1,13E+03;3,69E+02
777;1,24E+04;3,42E+03;1,13E+03;2,04E+02
778;1,20E+04;3,47E+03;9,39E+02;3,43E+02
779;1,23E+04;3,34E+03;1,00E+03;3,44E+02
780;1,20E+04;3,30E+03;1,05E+03;2,53E+02
781;1,16E+04;3,19E+03;8,35E+02;2,57E+02
782;1,17E+04;3,35E+03;9,05E+02;2,92E+02
783;1,09E+04;3,03E+03;9,96E+02;2,83E+02
784;1,10E+04;3,21E+03;8,36E+02;2,23E+02
785;1,09E+04;2,98E+03;1,04E+03;1,79E+02
786;1,14E+04;2,93E+03;9,09E+02;2,97E+02
787;1,06E+04;2,99E+03;9,70E+02;1,99E+02
788;1,07E+04;2,85E+03;8,44E+02;1,82E+02
789;1,05E+04;2,99E+03;9,52E+02;2,70E+02
790;9,70E+03;2,86E+03;8,44E+02;2,83E+02
791;9,71E+03;2,48E+03;8,99E+02;2,31E+02
792;1,02E+04;2,71E+03;8,56E+02;2,45E+02
793;9,19E+03;2,67E+03;7,86E+02;2,53E+02
794;9,91E+03;2,71E+03;8,60E+02;2,52E+02
795;9,51E+03;2,88E+03;8,87E+02;1,96E+02
796;8,70E+03;2,80E+03;8,49E+02;1,65E+02
797;8,90E+03;2,76E+03;8,85E+02;1,95E+02
798;8,27E+03;2,58E+03;7,22E+02;2,20E+02
799;8,58E+03;2,64E+03;7,96E+02;2,52E+02
800;8,92E+03;2,37E+03;7,03E+02;1,92E+02
801;8,30E+03;2,52E+03;5,88E+02;1,29E+02
802;8,34E+03;2,41E+03;5,48E+02;1,61E+02
803;8,08E+03;2,33E+03;6,58E+02;2,05E+02
804;8,52E+03;2,44E+03;6,79E+02;1,53E+02
805;7,98E+03;2,18E+03;6,56E+02;1,98E+02
806;8,11E+03;2,10E+03;5,70E+02;1,00E+02
807;7,71E+03;2,14E+03;6,74E+02;1,78E+02
808;7,40E+03;2,12E+03;7,07E+02;2,64E+02
809;7,44E+03;2,08E+03;5,72E+02;1,96E+02
810;7,53E+03;2,01E+03;5,87E+02;1,52E+02
811;7,37E+03;1,83E+03;5,41E+02;1,14E+02
812;7,15E+03;2,12E+03;6,42E+02;2,23E+02
813;6,65E+03;2,10E+03;5,26E+02;1,37E+02
814;6,63E+03;2,05E+03;5,73E+02;2,49E+02
815;6,74E+03;1,85E+03;4,47E+02;1,60E+02
816;6,12E+03;1,70E+03;5,91E+02;1,76E+02
817;6,36E+03;2,15E+03;5,90E+02;8,54E+01
818;6,44E+03;1,81E+03;4,97E+02;1,66E+02
819;6,55E+03;1,78E+03;5,96E+02;7,28E+01
820;5,93E+03;1,94E+03;4,98E+02;1,76E+02
821;5,86E+03;1,72E+03;4,95E+02;1,85E+02
822;5,76E+03;1,68E+03;4,55E+02;1,05E+02
823;5,45E+03;1,90E+03;5,63E+02;1,43E+02
824;5,68E+03;1,61E+03;5,07E+02;1,67E+02
825;5,43E+03;1,74E+03;4,67E+02;1,61E+02
826;4,95E+03;1,68E+03;4,33E+02;7,74E+01
827;5,32E+03;1,47E+03;4,44E+02;1,64E+02
828;5,38E+03;1,53E+03;3,38E+02;1,73E+02
829;5,13E+03;1,74E+03;3,88E+02;5,56E+01
830;5,02E+03;1,25E+03;3,91E+02;8,00E+01
831;4,99E+03;1,67E+03;5,69E+02;1,29E+02
832;4,98E+03;1,36E+03;4,78E+02;1,14E+02
833;4,93E+03;1,35E+03;4,17E+02;1,31E+02
834;4,65E+03;1,30E+03;3,87E+02;1,49E+02
835;4,42E+03;1,46E+03;4,90E+02;1,08E+02
